Chromosome,Position,target
chr1,1483635.0,ATAD3B
chr1,1485622.0,ATAD3B
chr1,1487684.0,ATAD3B
chr1,1493527.0,ATAD3B
chr1,1503224.0,Intergenic region between ATAD3B and ATAD3A
chr1,1506357.0,ENSG00000290916
chr1,1506466.0,ENSG00000284740
chr1,1514701.0,ATAD3A
chr1,1520023.0,ATAD3A
chr1,1523340.0,ATAD3A
chr1,1529278.0,ATAD3A
chr1,1529657.0,ATAD3A
chr1,1535110.0,TMEM240
chr1,1537776.0,TMEM240
chr1,1540200.0,TMEM240
chr1,1541820.0,SSU72
chr1,1542767.0,SSU72
chr1,1559216.0,SSU72
chr1,1574304.0,ENSG00000215014
chr1,1574699.0,SSU72
chr1,1575805.0,ENSG00000215014
chr1,1583709.0,ENSG00000274481
chr1,1587004.0,Intergenic region between SSU72 and FNDC10
chr1,1598742.0,FNDC10
chr1,1599918.0,FNDC10
chr1,1601508.0,ENSG00000286989
chr1,1611649.0,Intergenic region between FNDC10 and MIB2
chr1,1614776.0,ENSG00000272106
chr1,1619525.0,MIB2
chr1,1624495.0,MIB2
chr1,1626145.0,MIB2
chr1,1628954.0,MIB2
chr1,1630145.0,MIB2
chr1,1632574.0,MMP23B
chr1,1634653.0,MMP23B
chr1,1635378.0,CDK11B
chr1,1635968.0,CDK11B
chr1,1648419.0,CDK11B
chr1,1653769.0,CDK11B
chr1,1660963.0,ENSG00000272004
chr1,1664620.0,SLC35E2B
chr1,1672931.0,ENSG00000269737
chr1,1672931.0,SLC35E2B
chr1,1673193.0,ENSG00000269737
chr1,1684468.0,SLC35E2B
chr1,1688144.0,SLC35E2B
chr1,1700043.0,MMP23A
chr1,1701492.0,MMP23A
chr1,1702528.0,CDK11A
chr1,1703116.0,CDK11A
chr1,1703294.0,ENSG00000268575
chr1,1710496.0,CDK11A
chr1,1710496.0,ENSG00000268575
chr1,1719019.0,CDK11A
chr1,1719019.0,ENSG00000268575
chr1,1723009.0,CDK11A
chr1,1727057.0,ENSG00000227775
chr1,1727057.0,ENSG00000268575
chr1,1728482.0,ENSG00000227775
chr1,1728645.0,ENSG00000290854
chr1,1734852.0,ENSG00000227775
chr1,1735071.0,ENSG00000268575
chr1,1735723.0,ENSG00000227775
chr1,1735723.0,ENSG00000290854
chr1,1736840.0,SLC35E2A
chr1,1739278.0,SLC35E2A
chr1,1742496.0,ENSG00000290854
chr1,1746654.0,Intergenic region between SLC35E2A and NADK
chr1,1752770.0,NADK
chr1,1755751.0,NADK
chr1,1758491.0,NADK
chr1,1762553.0,NADK
chr1,1772887.0,NADK
chr1,1777256.0,NADK
chr1,1787239.0,GNB1
chr1,1791217.0,GNB1
chr1,1804535.0,GNB1
chr1,1854052.0,GNB1
chr1,1865775.0,GNB1
chr1,1891974.0,GNB1-DT
chr1,1915422.0,CALML6
chr1,1918840.0,TMEM52
chr1,1932356.0,CFAP74
chr1,1934130.0,CFAP74
chr1,1959168.0,CFAP74
chr1,1973102.0,CFAP74
chr1,1981390.0,CFAP74
chr1,1996219.0,CFAP74
chr1,2008091.0,Intergenic region between CFAP74 and GABRD
chr1,2014425.0,ENSG00000233542
chr1,2023454.0,GABRD
chr1,2028375.0,GABRD
chr1,2030222.0,GABRD
chr1,2049636.0,PRKCZ-DT
chr1,2099634.0,PRKCZ
chr1,2109996.0,PRKCZ
chr1,2143181.0,ENSG00000271806
chr1,2170867.0,PRKCZ
chr1,2173070.0,PRKCZ
chr1,2174640.0,PRKCZ
chr1,2180343.0,PRKCZ
chr1,2180713.0,PRKCZ
chr1,2183091.0,PRKCZ-AS1
chr1,2185297.0,FAAP20
chr1,2192123.0,FAAP20
chr1,2205822.0,FAAP20
chr1,2214051.0,ENSG00000234396
chr1,2216630.0,ENSG00000234396
chr1,2228282.0,SKI
chr1,2269963.0,SKI
chr1,2283101.0,SKI
chr1,2319062.0,ENSG00000287356
chr1,2326446.0,ENSG00000272161
chr1,2328870.0,MORN1
chr1,2347574.0,MORN1
chr1,2351616.0,ENSG00000269896
chr1,2363344.0,ENSG00000272420
chr1,2365583.0,MORN1
chr1,2379988.0,MORN1
chr1,2389588.0,MORN1
chr1,2392306.0,RER1
chr1,2394458.0,RER1
chr1,2399037.0,RER1
chr1,2401546.0,RER1
chr1,2403827.0,RER1
chr1,2404480.0,PEX10
chr1,2405355.0,PEX10
chr1,2407713.0,PEX10
chr1,2410561.0,PEX10
chr1,2413122.0,PEX10
chr1,2446322.0,PLCH2
chr1,2453087.0,PLCH2
chr1,2482365.0,PLCH2
chr1,2487156.0,PLCH2
chr1,2492778.0,ENSG00000224387
chr1,2493223.0,ENSG00000224387
chr1,2493223.0,PLCH2
chr1,2493957.0,ENSG00000229393
chr1,2501100.0,PLCH2
chr1,2508278.0,Intergenic region between PLCH2 and PANK4
chr1,2514212.0,PANK4
chr1,2523664.0,PANK4
chr1,2526552.0,PANK4
chr1,2528104.0,Intergenic region between PANK4 and HES5
chr1,2529222.0,HES5
chr1,2530136.0,HES5
chr1,2538767.0,ENSG00000272449
chr1,2543369.0,ENSG00000272449
chr1,2553324.0,TNFRSF14-AS1
chr1,2556184.0,TNFRSF14
chr1,2556880.0,TNFRSF14-AS1
chr1,2557285.0,TNFRSF14
chr1,2558891.0,TNFRSF14
chr1,2561210.0,TNFRSF14
chr1,2563551.0,TNFRSF14
chr1,2568148.0,ENSG00000225931
chr1,2574307.0,Intergenic region between TNFRSF14 and PRXL2B
chr1,2583046.0,ENSG00000228037
chr1,2585834.0,ENSG00000289610
chr1,2586692.0,PRXL2B
chr1,2589325.0,PRXL2B
chr1,2596382.0,MMEL1
chr1,2598111.0,MMEL1
chr1,2606285.0,MMEL1
chr1,2618210.0,MMEL1
chr1,2631186.0,MMEL1
chr1,2634593.0,MMEL1-AS1
chr1,2635418.0,MMEL1-AS1
chr1,2639232.0,TTC34
chr1,2643496.0,TTC34
chr1,2715690.0,TTC34
chr1,2775037.0,ENSG00000283259
chr1,2776411.0,ENSG00000285945
chr1,2786700.0,TTC34
chr1,2794613.0,TTC34
chr1,2812270.0,ENSG00000233234
chr1,2814714.0,ENSG00000231630
chr1,2815911.0,ENSG00000287396
chr1,2904954.0,Intergenic region between TTC34 and ACTRT2
chr1,2964682.0,ENSG00000284745
chr1,3021921.0,ACTRT2
chr1,3022855.0,ACTRT2
chr1,3064350.0,PRDM16-DT
chr1,3128004.0,MIR4251
chr1,3133317.0,ENSG00000226286
chr1,3203992.0,PRDM16
chr1,3207325.0,ENSG00000279839
chr1,3227171.0,PRDM16
chr1,3308365.0,ENSG00000272235
chr1,3318100.0,ENSG00000287828
chr1,3370871.0,ENSG00000286518
chr1,3394967.0,PRDM16
chr1,3408821.0,PRDM16
chr1,3425321.0,PRDM16
chr1,3437606.0,PRDM16
chr1,3458928.0,ARHGEF16
chr1,3466224.0,ARHGEF16
chr1,3475279.0,ARHGEF16
chr1,3487436.0,ENSG00000272088
chr1,3488649.0,MEGF6
chr1,3497901.0,MEGF6
chr1,3511610.0,MEGF6
chr1,3519405.0,MEGF6
chr1,3560742.0,MIR551A
chr1,3567868.0,MEGF6
chr1,3574743.0,MEGF6
chr1,3623821.0,ENSG00000238260
chr1,3625136.0,TPRG1L
chr1,3626518.0,TPRG1L
chr1,3628855.0,TPRG1L
chr1,3632328.0,WRAP73
chr1,3633919.0,WRAP73
chr1,3641890.0,WRAP73
chr1,3650095.0,WRAP73
chr1,3663854.0,TP73-AS3
chr1,3664923.0,TP73
chr1,3667465.0,TP73
chr1,3702905.0,TP73
chr1,3713248.0,TP73-AS2
chr1,3725271.0,TP73
chr1,3727661.0,TP73
chr1,3732188.0,TP73
chr1,3737022.0,ENSG00000276189
chr1,3740433.0,TP73-AS1
chr1,3741441.0,TP73-AS1
chr1,3749575.0,CCDC27
chr1,3754782.0,CCDC27
chr1,3760335.0,CCDC27
chr1,3767736.0,CCDC27
chr1,3769610.0,CCDC27
chr1,3774070.0,SMIM1
chr1,3775941.0,SMIM1
chr1,3779994.0,LRRC47
chr1,3781323.0,LRRC47
chr1,3782962.0,RN7SL574P
chr1,3785272.0,ENSG00000272153
chr1,3785506.0,ENSG00000272153
chr1,3785506.0,LRRC47
chr1,3791506.0,LRRC47
chr1,3796214.0,LRRC47
chr1,3811166.0,Intergenic region between LRRC47 and CEP104
chr1,3819244.0,CEP104
chr1,3830734.0,CEP104
chr1,3837061.0,CEP104
chr1,3848240.0,CEP104
chr1,3852465.0,CEP104
chr1,3861556.0,DFFB
chr1,3867018.0,DFFB
chr1,3868874.0,DFFB
chr1,3877570.0,DFFB
chr1,3880200.0,DFFB
chr1,3889906.0,C1orf174
chr1,3891912.0,C1orf174
chr1,3896409.0,C1orf174
chr1,3900267.0,C1orf174
chr1,3908785.0,LINC01134
chr1,3946785.0,LINC01345
chr1,3947873.0,LINC01346
chr1,3994418.0,LINC02780
chr1,4016214.0,ENSG00000284703
chr1,4175713.0,EEF1DP6
chr1,4306444.0,Intergenic region between LINC01134 and AJAP1
chr1,4418357.0,LINC01777
chr1,4481752.0,ENSG00000284694
chr1,4551939.0,ENSG00000227169
chr1,4582748.0,LINC01646
chr1,4683628.0,AJAP1
chr1,4732601.0,ENSG00000287586
chr1,4742479.0,AJAP1
chr1,4782509.0,AJAP1
chr1,4968625.0,ENSG00000284739
chr1,4977474.0,LINC02781
chr1,5088678.0,LINC02782
chr1,5304660.0,ENSG00000284616
chr1,5338604.0,Intergenic region between AJAP1 and NPHP4
chr1,5481407.0,ENSG00000284666
chr1,5485896.0,ENSG00000284692
chr1,5493825.0,ENSG00000260972
chr1,5554813.0,ENSG00000283356
chr1,5564106.0,ENSG00000264341
chr1,5615001.0,ENSG00000236948
chr1,5752405.0,ENSG00000289893
chr1,5862706.0,MIR4689
chr1,5883766.0,NPHP4
chr1,5948960.0,NPHP4
chr1,5973044.0,NPHP4
chr1,6015783.0,KCNAB2
chr1,6057199.0,KCNAB2
chr1,6082118.0,KCNAB2
chr1,6093029.0,KCNAB2
chr1,6098387.0,KCNAB2
chr1,6103039.0,CHD5
chr1,6106141.0,CHD5
chr1,6126363.0,CHD5
chr1,6145541.0,CHD5
chr1,6152257.0,CHD5
chr1,6167991.0,CHD5
chr1,6174292.0,CHD5
chr1,6176176.0,ENSG00000285629
chr1,6188971.0,RPL22
chr1,6195340.0,ENSG00000285629
chr1,6196243.0,ENSG00000285629
chr1,6196243.0,RPL22
chr1,6202859.0,RPL22
chr1,6205309.0,RNF207-AS1
chr1,6205809.0,RNF207
chr1,6208316.0,RNF207
chr1,6208316.0,RPL22
chr1,6209287.0,RPL22
chr1,6210115.0,RNF207
chr1,6211675.0,RNF207
chr1,6216802.0,RNF207
chr1,6218718.0,RNF207
chr1,6223161.0,ICMT
chr1,6228602.0,ICMT
chr1,6232799.0,ICMT
chr1,6234582.0,ICMT
chr1,6235117.0,ICMT-DT
chr1,6235947.0,ICMT
chr1,6237683.0,ICMT-DT
chr1,6240178.0,Intergenic region between LINC00337 and HES3
chr1,6244306.0,HES3
chr1,6245506.0,HES3
chr1,6248392.0,GPR153
chr1,6249351.0,GPR153
chr1,6252978.0,GPR153
chr1,6257999.0,GPR153
chr1,6286702.0,ACOT7
chr1,6291386.0,ACOT7
chr1,6322925.0,ACOT7
chr1,6338553.0,ACOT7
chr1,6371799.0,ACOT7
chr1,6384487.0,ACOT7
chr1,6393972.0,ENSG00000271746
chr1,6415779.0,HES2
chr1,6421998.0,HES2
chr1,6429864.0,MIR4252
chr1,6430007.0,ESPN
chr1,6432731.0,ESPN
chr1,6442623.0,ESPN
chr1,6443796.0,ENSG00000231868
chr1,6445846.0,ENSG00000231868
chr1,6448375.0,ESPN
chr1,6456715.0,ESPN
chr1,6456870.0,ESPN
chr1,6461231.0,TNFRSF25
chr1,6462270.0,TNFRSF25
chr1,6463772.0,TNFRSF25
chr1,6465814.0,TNFRSF25
chr1,6468116.0,PLEKHG5
chr1,6468950.0,PLEKHG5
chr1,6471920.0,PLEKHG5
chr1,6497049.0,PLEKHG5
chr1,6500393.0,PLEKHG5
chr1,6524053.0,NOL9
chr1,6529705.0,NOL9
chr1,6540908.0,RNU6-731P
chr1,6541156.0,NOL9
chr1,6548261.0,ENSG00000229519
chr1,6552063.0,NOL9
chr1,6560295.0,TAS1R1
chr1,6563141.0,TAS1R1
chr1,6573110.0,TAS1R1
chr1,6577532.0,TAS1R1
chr1,6578061.0,TAS1R1
chr1,6580403.0,ZBTB48
chr1,6583991.0,ZBTB48
chr1,6588418.0,ZBTB48
chr1,6591555.0,KLHL21
chr1,6593138.0,KLHL21
chr1,6597356.0,KLHL21
chr1,6600858.0,KLHL21
chr1,6608499.0,KLHL21
chr1,6611123.0,KLHL21
chr1,6616792.0,PHF13
chr1,6622174.0,PHF13
chr1,6622772.0,PHF13
chr1,6625046.0,THAP3
chr1,6626881.0,THAP3
chr1,6632129.0,THAP3
chr1,6633494.0,THAP3
chr1,6636241.0,DNAJC11
chr1,6642105.0,DNAJC11
chr1,6649963.0,DNAJC11
chr1,6660877.0,DNAJC11
chr1,6684822.0,DNAJC11
chr1,6726805.0,LINC01672
chr1,6727324.0,LINC01672
chr1,6768995.0,ENSG00000284744
chr1,6784367.0,CAMTA1-DT
chr1,6785671.0,CAMTA1
chr1,6805554.0,CAMTA1
chr1,6834475.0,ENSG00000227950
chr1,7011327.0,CAMTA1-AS3
chr1,7146518.0,CAMTA1
chr1,7219441.0,RNU1-8P
chr1,7369605.0,CAMTA1-IT1
chr1,7386120.0,CAMTA1-AS2
chr1,7441324.0,CAMTA1-AS1
chr1,7566486.0,CAMTA1
chr1,7693983.0,ENSG00000270171
chr1,7698587.0,ENSG00000270035
chr1,7700836.0,ENSG00000269978
chr1,7717396.0,CAMTA1
chr1,7721120.0,CAMTA1
chr1,7774224.0,VAMP3
chr1,7776578.0,ENSG00000269925
chr1,7779363.0,VAMP3
chr1,7790509.0,PER3
chr1,7794007.0,PER3
chr1,7806815.0,PER3
chr1,7815538.0,ENSG00000236266
chr1,7815538.0,PER3
chr1,7823933.0,ENSG00000236266
chr1,7832850.0,PER3
chr1,7835690.0,PER3
chr1,7846969.0,UTS2
chr1,7852210.0,UTS2
chr1,7893010.0,Intergenic region between UTS2 and TNFRSF9
chr1,7925491.0,TNFRSF9
chr1,7936410.0,TNFRSF9
chr1,7938248.0,TNFRSF9
chr1,7940968.0,TNFRSF9
chr1,7942548.0,ENSG00000270330
chr1,7952079.0,Intergenic region between TNFRSF9 and PARK7
chr1,7959838.0,PARK7
chr1,7967367.0,PARK7
chr1,7977434.0,PARK7
chr1,7982931.0,Y_RNA
chr1,7991358.0,ENSG00000284747
chr1,7998222.0,ENSG00000284747
chr1,7999060.0,ENSG00000284716
chr1,8008878.0,ERRFI1
chr1,8020218.0,ERRFI1
chr1,8057853.0,RPL7AP18
chr1,8074719.0,ERRFI1-DT
chr1,8169397.0,Intergenic region between ERRFI1 and SLC45A1
chr1,8191296.0,ENSG00000229305
chr1,8193308.0,ENSG00000288816
chr1,8206515.0,RNU1-7P
chr1,8208363.0,LINC01714
chr1,8219359.0,ENSG00000233645
chr1,8292209.0,RNU6-991P
chr1,8321390.0,SLC45A1
chr1,8328122.0,Y_RNA
chr1,8331623.0,SLC45A1
chr1,8338765.0,SLC45A1
chr1,8341888.0,SLC45A1
chr1,8351223.0,Intergenic region between SLC45A1 and RERE
chr1,8357617.0,RERE
chr1,8363459.0,RERE
chr1,8393942.0,RERE
chr1,8429828.0,RERE-AS1
chr1,8466257.0,RERE
chr1,8511856.0,ENSG00000221083
chr1,8512836.0,ENSG00000270282
chr1,8678794.0,RERE
chr1,8686323.0,RERE
chr1,8750758.0,RPL7P11
chr1,8786561.0,RPL7P7
chr1,8796621.0,Y_RNA
chr1,8798990.0,ENSG00000226545
chr1,8806455.0,ENSG00000228423
chr1,8831190.0,RPL23AP19
chr1,8862489.0,ENO1
chr1,8865157.0,ENO1
chr1,8866545.0,MIR6728
chr1,8867253.0,ENO1
chr1,8873157.0,ENO1
chr1,8878950.0,ENO1
chr1,8879364.0,ENO1-AS1
chr1,8883479.0,RNU6-304P
chr1,8893779.0,HMGN2P17
chr1,8907568.0,ENSG00000232208
chr1,8909822.0,ENSG00000232663
chr1,8917980.0,Intergenic region between ENO1-AS1 and CA6
chr1,8951558.0,CA6
chr1,8958120.0,CA6
chr1,8963394.0,CA6
chr1,8970866.0,ENSG00000290109
chr1,8971438.0,CA6
chr1,8979724.0,RN7SL451P
chr1,8991315.0,Intergenic region between CA6 and SLC2A7
chr1,9008909.0,SLC2A7
chr1,9016575.0,SLC2A7
chr1,9021648.0,SLC2A7
chr1,9025714.0,SLC2A7
chr1,9031718.0,Intergenic region between SLC2A7 and SLC2A5
chr1,9036767.0,SLC2A5
chr1,9039045.0,SLC2A5
chr1,9048905.0,SLC2A5
chr1,9073333.0,SLC2A5
chr1,9082787.0,ENSG00000252404
chr1,9084738.0,SLC2A5
chr1,9105796.0,GPR157
chr1,9120221.0,GPR157
chr1,9129035.0,GPR157
chr1,9151722.0,MIR34A
chr1,9162633.0,ENSG00000289914
chr1,9173458.0,MIR34AHG
chr1,9187249.0,LNCTAM34A
chr1,9189143.0,LNCTAM34A
chr1,9240151.0,H6PD
chr1,9253836.0,H6PD
chr1,9263463.0,H6PD
chr1,9268045.0,H6PD
chr1,9310394.0,SPSB1
chr1,9324464.0,SPSB1
chr1,9362900.0,SPSB1
chr1,9421979.0,ENSG00000284652
chr1,9432828.0,LINC02606
chr1,9437723.0,RNA5SP40
chr1,9448007.0,Intergenic region between SPSB1 and SLC25A33
chr1,9502281.0,ENSG00000235263
chr1,9539605.0,SLC25A33
chr1,9559990.0,SLC25A33
chr1,9576705.0,ENSG00000231181
chr1,9581265.0,SLC25A33
chr1,9583738.0,SLC25A33
chr1,9585664.0,Intergenic region between SLC25A33 and TMEM201
chr1,9588968.0,TMEM201
chr1,9592463.0,TMEM201
chr1,9603360.0,TMEM201
chr1,9612799.0,TMEM201
chr1,9653597.0,PIK3CD-AS1
chr1,9661726.0,ENSG00000233268
chr1,9663318.0,PIK3CD
chr1,9672901.0,PIK3CD
chr1,9679993.0,PIK3CD-AS2
chr1,9718585.0,PIK3CD
chr1,9724977.0,PIK3CD
chr1,9727986.0,PIK3CD
chr1,9732028.0,CLSTN1
chr1,9739833.0,CLSTN1
chr1,9748076.0,CLSTN1
chr1,9762483.0,CLSTN1
chr1,9781030.0,MZT1P1
chr1,9798666.0,CLSTN1
chr1,9822273.0,CLSTN1
chr1,9827279.0,ENSG00000280113
chr1,9849235.0,ENSG00000223989
chr1,9859737.0,CTNNBIP1
chr1,9891191.0,CTNNBIP1
chr1,9902468.0,CTNNBIP1
chr1,9904323.0,ENSG00000285701
chr1,9927500.0,LZIC
chr1,9933831.0,LZIC
chr1,9936027.0,LZIC
chr1,9939973.0,LZIC
chr1,9946448.0,ENSG00000228150
chr1,9947476.0,RN7SKP269
chr1,9951962.0,NMNAT1
chr1,9955406.0,NMNAT1
chr1,9955679.0,TMEM274P
chr1,9967383.0,MIR5697
chr1,9967422.0,MIR5697
chr1,9969752.0,NMNAT1
chr1,9977282.0,NMNAT1
chr1,9983854.0,ENSG00000241326
chr1,9983993.0,NMNAT1
chr1,9989884.0,Intergenic region between NMNAT1 and RBP7
chr1,9997244.0,RBP7
chr1,10002472.0,RBP7
chr1,10012142.0,RBP7
chr1,10040145.0,UBE4B
chr1,10052429.0,UBE4B
chr1,10054612.0,RPL21P21
chr1,10059159.0,PGAM1P11
chr1,10103585.0,UBE4B
chr1,10136159.0,UBE4B
chr1,10157958.0,UBE4B
chr1,10163320.0,RNU6-828P
chr1,10179991.0,UBE4B
chr1,10205540.0,Intergenic region between UBE4B and KIF1B
chr1,10221453.0,KIF1B
chr1,10227760.0,ENSG00000264881
chr1,10249914.0,KIF1B
chr1,10299018.0,RNU6-37P
chr1,10306610.0,RN7SL731P
chr1,10324904.0,KIF1B
chr1,10334364.0,KIF1B
chr1,10384527.0,ENSG00000284735
